编号,时间,用户,资源类型,资源IP,资源账号,登录协议,操作命令列表
22,2024-08-09 21:53:57,user_4,Server,192.168.3.98,user_3,HTTP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, exit, sudo apt update, cat /etc/passwd"
23,2024-06-23 04:31:48,user_3,Server,192.168.2.47,user_1,RDP,"sudo apt update, cat /etc/passwd"
24,2024-01-12 13:25:28,user_1,Database,192.168.1.87,user_5,Telnet,"ls -la, rm -rf /tmp/*, cat /etc/passwd, sudo apt update"
25,2024-04-15 04:08:24,user_9,Server,192.168.2.217,user_8,HTTP,"rm -rf /tmp/*, systemctl restart apache2, ls -la"
26,2024-05-05 23:24:22,user_7,Router,192.168.4.139,user_10,SSH,"exit, sudo apt update, scp file.txt user@192.168.1.100:/home/"
27,2024-07-24 05:07:22,user_7,Switch,192.168.3.237,user_1,Telnet,"exit, scp file.txt user@192.168.1.100:/home/, sudo apt update, systemctl restart apache2"
28,2024-10-23 00:50:16,user_7,Database,192.168.2.203,user_1,Telnet,rm -rf /tmp/*
29,2024-01-18 19:15:58,user_5,Router,192.168.1.104,user_8,RDP,"systemctl restart apache2, sudo apt update"
30,2024-09-22 05:23:53,user_1,Switch,192.168.3.75,user_6,HTTP,"rm -rf /tmp/*, exit, systemctl restart apache2"
31,2024-05-24 10:01:53,user_8,Server,192.168.1.219,user_2,Telnet,"exit, rm -rf /tmp/*, cat /etc/passwd, systemctl restart apache2"
32,2024-01-01 04:37:07,user_4,Switch,192.168.3.43,user_3,HTTP,"ls -la, exit, scp file.txt user@192.168.1.100:/home/"
33,2024-04-07 00:13:29,user_6,Switch,192.168.1.11,user_9,Telnet,"ls -la, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, systemctl restart apache2"
34,2024-02-13 06:05:44,user_9,Router,192.168.3.234,user_6,HTTP,"ls -la, scp file.txt user@192.168.1.100:/home/"
35,2024-01-30 08:24:47,user_5,Router,192.168.2.218,user_7,Telnet,"exit, scp file.txt user@192.168.1.100:/home/, ls -la, cat /etc/passwd, sudo apt update"
36,2024-09-16 21:32:03,user_10,Switch,192.168.2.191,user_6,HTTP,"sudo apt update, ls -la, exit"
37,2024-07-31 00:46:54,user_1,Router,192.168.3.79,user_2,RDP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, rm -rf /tmp/*"
38,2024-05-06 08:13:27,user_3,Switch,192.168.2.192,user_6,SSH,sudo apt update
39,2024-08-07 03:10:34,user_6,Database,192.168.2.238,user_1,SSH,"sudo apt update, scp file.txt user@192.168.1.100:/home/, ls -la, cat /etc/passwd"
40,2024-04-03 06:27:54,user_4,Server,192.168.1.29,user_8,HTTP,"exit, cat /etc/passwd, sudo apt update, scp file.txt user@192.168.1.100:/home/"
41,2024-07-30 19:03:32,user_5,Router,192.168.3.203,user_5,RDP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, sudo apt update, cat /etc/passwd, rm -rf /tmp/*"
42,2024-04-26 21:45:22,user_2,Server,192.168.3.176,user_7,RDP,"rm -rf /tmp/*, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
43,2024-03-14 02:45:13,user_4,Database,192.168.2.229,user_9,SSH,"systemctl restart apache2, ls -la, cat /etc/passwd, rm -rf /tmp/*, exit"
44,2024-07-31 01:59:51,user_2,Server,192.168.3.224,user_8,Telnet,"exit, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, ls -la"
45,2024-02-03 23:46:39,user_6,Database,192.168.3.104,user_2,SSH,cat /etc/passwd
46,2024-01-11 04:49:47,user_3,Database,192.168.1.150,user_3,SSH,"ls -la, exit, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, systemctl restart apache2"
47,2024-05-16 07:40:20,user_10,Switch,192.168.4.5,user_8,HTTP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
48,2024-10-13 14:21:29,user_2,Server,192.168.3.231,user_10,SSH,"systemctl restart apache2, cat /etc/passwd, exit"
49,2024-06-23 00:54:29,user_5,Server,192.168.4.100,user_3,SSH,"ls -la, systemctl restart apache2, sudo apt update"
50,2024-11-17 04:44:32,user_6,Router,192.168.2.133,user_8,RDP,"ls -la, systemctl restart apache2, cat /etc/passwd"
51,2024-08-30 09:16:58,user_8,Router,192.168.3.108,user_9,RDP,"cat /etc/passwd, rm -rf /tmp/*, exit, ls -la"
52,2024-09-18 10:04:58,user_8,Server,192.168.4.136,user_7,HTTP,"scp file.txt user@192.168.1.100:/home/, sudo apt update, rm -rf /tmp/*, systemctl restart apache2, cat /etc/passwd"
53,2024-11-09 04:24:17,user_6,Switch,192.168.3.152,user_8,HTTP,"cat /etc/passwd, rm -rf /tmp/*"
54,2024-09-17 02:26:57,user_6,Switch,192.168.2.2,user_8,HTTP,"systemctl restart apache2, cat /etc/passwd, ls -la, exit, sudo apt update"
55,2024-01-03 06:40:34,user_6,Database,192.168.3.163,user_5,RDP,"ls -la, sudo apt update, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
56,2024-03-22 15:59:36,user_7,Database,192.168.2.222,user_10,HTTP,"exit, sudo apt update, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
57,2024-10-27 02:04:36,user_4,Router,192.168.3.46,user_5,HTTP,"rm -rf /tmp/*, cat /etc/passwd, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update"
58,2024-10-12 19:40:46,user_9,Router,192.168.4.153,user_3,SSH,"systemctl restart apache2, sudo apt update, rm -rf /tmp/*, exit"
59,2024-02-04 17:08:22,user_5,Switch,192.168.1.34,user_4,HTTP,"systemctl restart apache2, exit"
60,2024-10-07 20:16:00,user_9,Switch,192.168.1.49,user_8,HTTP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, systemctl restart apache2"
61,2024-02-07 21:06:44,user_7,Server,192.168.3.112,user_4,Telnet,"scp file.txt user@192.168.1.100:/home/, sudo apt update, exit, rm -rf /tmp/*"
62,2024-02-10 00:23:08,user_5,Database,192.168.3.168,user_2,Telnet,"exit, rm -rf /tmp/*"
63,2024-10-11 04:37:02,user_5,Database,192.168.2.44,user_2,HTTP,"ls -la, scp file.txt user@192.168.1.100:/home/, sudo apt update, systemctl restart apache2"
64,2024-08-03 06:04:54,user_3,Router,192.168.3.104,user_10,SSH,"systemctl restart apache2, sudo apt update, cat /etc/passwd, rm -rf /tmp/*, ls -la"
65,2024-08-09 13:19:06,user_4,Router,192.168.4.244,user_5,Telnet,"sudo apt update, cat /etc/passwd, exit, systemctl restart apache2"
66,2024-07-09 22:18:12,user_8,Switch,192.168.3.65,user_10,HTTP,rm -rf /tmp/*
67,2024-05-18 20:20:00,user_8,Database,192.168.1.157,user_6,HTTP,"exit, rm -rf /tmp/*, cat /etc/passwd"
68,2024-04-01 22:12:46,user_1,Router,192.168.2.76,user_4,Telnet,"ls -la, rm -rf /tmp/*, cat /etc/passwd, systemctl restart apache2"
69,2024-05-27 11:48:59,user_9,Switch,192.168.2.78,user_8,RDP,systemctl restart apache2
70,2024-02-11 21:26:03,user_10,Switch,192.168.3.251,user_10,SSH,"exit, sudo apt update, cat /etc/passwd"
71,2024-06-09 10:01:30,user_4,Server,192.168.4.157,user_2,RDP,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, sudo apt update, rm -rf /tmp/*"
72,2024-04-05 01:30:00,user_3,Server,192.168.3.121,user_6,SSH,sudo apt update
73,2024-08-13 23:35:06,user_2,Router,192.168.4.217,user_1,SSH,"exit, rm -rf /tmp/*, ls -la, sudo apt update, cat /etc/passwd"
74,2024-07-01 12:18:33,user_2,Server,192.168.4.128,user_3,HTTP,"cat /etc/passwd, exit"
75,2024-01-24 18:20:57,user_3,Switch,192.168.1.136,user_2,Telnet,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
76,2024-05-03 00:09:06,user_3,Server,192.168.2.232,user_7,RDP,"exit, rm -rf /tmp/*, cat /etc/passwd, sudo apt update"
77,2024-05-19 23:23:02,user_1,Router,192.168.1.64,user_4,HTTP,"sudo apt update, exit, cat /etc/passwd"
78,2024-06-18 03:06:50,user_8,Server,192.168.2.38,user_4,RDP,"sudo apt update, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, exit, cat /etc/passwd"
79,2024-06-05 00:08:43,user_3,Database,192.168.3.83,user_9,RDP,"exit, sudo apt update"
80,2024-01-02 05:11:12,user_2,Switch,192.168.1.233,user_6,Telnet,"ls -la, exit, sudo apt update, systemctl restart apache2"
81,2024-02-17 11:19:29,user_3,Database,192.168.4.107,user_8,HTTP,cat /etc/passwd
82,2024-08-17 10:54:06,user_8,Router,192.168.3.78,user_8,RDP,"exit, systemctl restart apache2, ls -la"
83,2024-06-16 11:20:40,user_6,Router,192.168.4.126,user_2,RDP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, sudo apt update, systemctl restart apache2"
84,2024-08-24 02:26:56,user_10,Router,192.168.3.176,user_7,RDP,"ls -la, systemctl restart apache2"
85,2024-04-28 19:56:21,user_2,Switch,192.168.1.178,user_5,HTTP,"sudo apt update, rm -rf /tmp/*"
86,2024-10-27 15:17:27,user_5,Database,192.168.4.62,user_4,SSH,"sudo apt update, systemctl restart apache2"
87,2024-05-30 13:29:40,user_6,Switch,192.168.2.92,user_1,RDP,cat /etc/passwd
88,2024-06-23 05:31:56,user_6,Server,192.168.3.141,user_1,RDP,"exit, rm -rf /tmp/*, systemctl restart apache2"
89,2024-09-30 10:49:46,user_6,Switch,192.168.4.73,user_1,SSH,"cat /etc/passwd, rm -rf /tmp/*, exit"
90,2024-06-02 00:31:41,user_1,Server,192.168.4.145,user_6,HTTP,rm -rf /tmp/*
91,2024-01-13 20:36:15,user_4,Server,192.168.1.114,user_9,Telnet,"systemctl restart apache2, exit, cat /etc/passwd"
92,2024-05-18 13:18:53,user_7,Database,192.168.1.157,user_2,HTTP,"sudo apt update, exit, rm -rf /tmp/*, ls -la"
93,2024-01-06 18:45:38,user_4,Database,192.168.3.223,user_2,HTTP,"rm -rf /tmp/*, sudo apt update, ls -la, scp file.txt user@192.168.1.100:/home/"
94,2024-03-04 11:47:44,user_6,Switch,192.168.1.202,user_8,Telnet,"exit, scp file.txt user@192.168.1.100:/home/, ls -la, cat /etc/passwd"
95,2024-03-28 08:03:59,user_8,Switch,192.168.3.98,user_5,RDP,"systemctl restart apache2, ls -la, cat /etc/passwd, rm -rf /tmp/*"
96,2024-08-05 21:13:55,user_6,Router,192.168.3.108,user_3,HTTP,"rm -rf /tmp/*, ls -la, sudo apt update"
97,2024-05-02 20:41:19,user_4,Router,192.168.2.22,user_7,Telnet,"ls -la, exit, systemctl restart apache2, sudo apt update, rm -rf /tmp/*"
98,2024-04-07 05:37:10,user_2,Switch,192.168.1.6,user_2,HTTP,"sudo apt update, systemctl restart apache2"
99,2024-03-20 22:38:28,user_2,Router,192.168.1.101,user_7,SSH,"sudo apt update, scp file.txt user@192.168.1.100:/home/"
100,2024-07-11 15:05:00,user_2,Database,192.168.1.155,user_10,HTTP,"exit, sudo apt update, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, cat /etc/passwd"
101,2024-11-13 23:24:59,user_10,Server,192.168.1.158,user_9,SSH,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, cat /etc/passwd, exit, systemctl restart apache2"
102,2024-05-14 18:46:40,user_8,Router,192.168.4.30,user_8,Telnet,systemctl restart apache2
103,2024-06-15 15:50:54,user_9,Server,192.168.4.244,user_1,SSH,"scp file.txt user@192.168.1.100:/home/, ls -la"
104,2024-09-10 10:35:54,user_7,Switch,192.168.4.97,user_7,SSH,"rm -rf /tmp/*, sudo apt update, ls -la, scp file.txt user@192.168.1.100:/home/"
105,2024-03-10 00:36:55,user_1,Server,192.168.4.154,user_3,Telnet,"exit, ls -la, cat /etc/passwd, sudo apt update"
106,2024-09-09 01:30:17,user_6,Server,192.168.4.178,user_5,HTTP,"ls -la, rm -rf /tmp/*, cat /etc/passwd, systemctl restart apache2, exit"
107,2024-02-01 10:03:34,user_3,Server,192.168.3.104,user_2,Telnet,"rm -rf /tmp/*, ls -la"
108,2024-01-31 03:50:15,user_10,Server,192.168.2.218,user_8,SSH,"cat /etc/passwd, exit"
109,2024-01-14 11:38:03,user_10,Router,192.168.1.206,user_9,SSH,scp file.txt user@192.168.1.100:/home/
110,2024-05-14 04:24:56,user_10,Switch,192.168.1.118,user_3,SSH,"exit, systemctl restart apache2"
111,2024-08-12 13:33:18,user_2,Router,192.168.1.24,user_9,RDP,"sudo apt update, ls -la, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
112,2024-06-21 03:39:26,user_9,Server,192.168.1.2,user_2,HTTP,"exit, ls -la, cat /etc/passwd"
113,2024-10-02 05:28:02,user_8,Switch,192.168.1.191,user_4,HTTP,"exit, sudo apt update, cat /etc/passwd, ls -la"
114,2024-02-02 21:46:00,user_1,Database,192.168.1.144,user_6,Telnet,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
115,2024-10-10 08:44:56,user_5,Database,192.168.1.82,user_4,SSH,"ls -la, cat /etc/passwd, systemctl restart apache2, sudo apt update"
116,2024-01-17 11:42:54,user_2,Switch,192.168.1.39,user_10,SSH,sudo apt update
117,2024-06-11 01:05:57,user_6,Switch,192.168.4.118,user_3,RDP,"cat /etc/passwd, rm -rf /tmp/*, ls -la, sudo apt update"
118,2024-05-09 08:32:57,user_1,Switch,192.168.3.171,user_2,Telnet,"ls -la, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
119,2024-03-05 14:43:52,user_1,Database,192.168.2.140,user_3,RDP,"ls -la, cat /etc/passwd, systemctl restart apache2, sudo apt update"
120,2024-02-03 05:55:29,user_5,Server,192.168.1.168,user_7,RDP,"cat /etc/passwd, systemctl restart apache2"
121,2024-10-11 09:11:56,user_7,Database,192.168.3.239,user_4,Telnet,"systemctl restart apache2, sudo apt update"
122,2024-07-14 06:07:47,user_9,Router,192.168.3.217,user_10,HTTP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, cat /etc/passwd, rm -rf /tmp/*, sudo apt update"
123,2024-10-22 00:04:15,user_6,Router,192.168.4.108,user_10,HTTP,"systemctl restart apache2, sudo apt update, ls -la, scp file.txt user@192.168.1.100:/home/, exit"
124,2024-08-28 15:03:55,user_2,Router,192.168.3.1,user_8,SSH,"ls -la, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
125,2024-08-13 06:18:38,user_1,Server,192.168.3.176,user_7,RDP,systemctl restart apache2
126,2024-09-11 18:18:10,user_3,Database,192.168.2.189,user_4,RDP,"rm -rf /tmp/*, exit, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/"
127,2024-02-11 02:01:53,user_7,Router,192.168.4.17,user_7,Telnet,"cat /etc/passwd, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
128,2024-07-14 02:18:51,user_5,Server,192.168.2.235,user_6,SSH,"exit, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, sudo apt update, ls -la"
129,2024-04-05 07:52:46,user_2,Router,192.168.1.128,user_8,SSH,"sudo apt update, exit"
130,2024-03-20 11:56:45,user_6,Server,192.168.4.78,user_2,Telnet,"sudo apt update, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
131,2024-09-07 20:07:12,user_4,Database,192.168.4.179,user_3,HTTP,"scp file.txt user@192.168.1.100:/home/, sudo apt update, rm -rf /tmp/*"
132,2024-08-09 23:45:50,user_8,Server,192.168.1.49,user_8,HTTP,cat /etc/passwd
133,2024-08-18 13:39:52,user_7,Switch,192.168.2.164,user_2,HTTP,"cat /etc/passwd, exit"
134,2024-08-26 03:10:08,user_7,Server,192.168.2.237,user_5,RDP,"ls -la, scp file.txt user@192.168.1.100:/home/, exit, systemctl restart apache2, rm -rf /tmp/*"
135,2024-11-18 23:43:14,user_1,Switch,192.168.3.247,user_2,RDP,"exit, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, ls -la, sudo apt update"
136,2024-08-24 22:36:55,user_9,Server,192.168.3.4,user_8,Telnet,"systemctl restart apache2, sudo apt update, ls -la, scp file.txt user@192.168.1.100:/home/, exit"
137,2024-11-14 07:39:24,user_4,Switch,192.168.3.229,user_5,Telnet,"cat /etc/passwd, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update"
138,2024-05-23 10:52:25,user_1,Switch,192.168.2.214,user_8,HTTP,"exit, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
139,2024-08-26 14:21:45,user_10,Server,192.168.1.97,user_3,RDP,exit
140,2024-03-16 20:51:53,user_5,Server,192.168.2.149,user_4,Telnet,"rm -rf /tmp/*, sudo apt update, exit, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
141,2024-08-27 15:59:58,user_1,Router,192.168.4.158,user_10,RDP,"sudo apt update, ls -la, exit, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
142,2024-03-04 15:02:57,user_9,Router,192.168.1.15,user_10,HTTP,"cat /etc/passwd, ls -la, scp file.txt user@192.168.1.100:/home/"
143,2024-01-15 14:21:59,user_5,Switch,192.168.1.225,user_8,HTTP,"systemctl restart apache2, exit"
144,2024-01-29 02:27:30,user_5,Database,192.168.3.143,user_1,SSH,systemctl restart apache2
145,2024-09-02 14:10:53,user_10,Server,192.168.1.134,user_8,RDP,"sudo apt update, ls -la, exit"
146,2024-07-03 08:11:06,user_7,Router,192.168.3.154,user_8,RDP,"cat /etc/passwd, sudo apt update, ls -la, scp file.txt user@192.168.1.100:/home/"
147,2024-10-16 20:02:32,user_9,Server,192.168.2.187,user_4,SSH,"cat /etc/passwd, sudo apt update, scp file.txt user@192.168.1.100:/home/"
148,2024-03-28 12:24:32,user_1,Database,192.168.4.97,user_10,HTTP,"ls -la, systemctl restart apache2, exit, sudo apt update, rm -rf /tmp/*"
149,2024-03-21 10:40:22,user_1,Router,192.168.3.91,user_4,SSH,"exit, scp file.txt user@192.168.1.100:/home/, sudo apt update, systemctl restart apache2, ls -la"
150,2024-02-21 01:13:19,user_2,Server,192.168.3.118,user_2,SSH,exit
151,2024-06-29 23:39:16,user_3,Database,192.168.1.79,user_1,HTTP,"ls -la, sudo apt update, exit, rm -rf /tmp/*, cat /etc/passwd"
152,2024-09-24 11:22:54,user_8,Database,192.168.2.62,user_1,Telnet,rm -rf /tmp/*
153,2024-05-18 08:54:13,user_4,Router,192.168.1.189,user_3,RDP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/"
154,2024-05-07 11:17:44,user_3,Database,192.168.3.217,user_9,SSH,"cat /etc/passwd, exit, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
155,2024-07-02 02:24:19,user_4,Router,192.168.2.25,user_10,Telnet,"ls -la, rm -rf /tmp/*, sudo apt update"
156,2024-01-22 11:34:41,user_9,Router,192.168.1.197,user_5,RDP,"sudo apt update, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, exit, rm -rf /tmp/*"
157,2024-09-30 12:13:06,user_6,Switch,192.168.3.29,user_6,RDP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, systemctl restart apache2, sudo apt update, ls -la"
158,2024-03-03 13:59:54,user_4,Router,192.168.3.167,user_9,HTTP,"sudo apt update, exit, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, rm -rf /tmp/*"
159,2024-08-14 03:46:09,user_10,Router,192.168.2.107,user_9,SSH,"exit, systemctl restart apache2"
160,2024-09-24 15:12:47,user_10,Switch,192.168.3.192,user_7,SSH,rm -rf /tmp/*
161,2024-10-12 01:48:54,user_9,Database,192.168.4.77,user_3,RDP,exit
162,2024-03-01 11:59:37,user_10,Server,192.168.2.133,user_3,RDP,"rm -rf /tmp/*, cat /etc/passwd"
163,2024-07-02 22:17:10,user_5,Server,192.168.3.229,user_1,Telnet,sudo apt update
164,2024-07-13 18:13:06,user_1,Switch,192.168.2.227,user_1,Telnet,"systemctl restart apache2, cat /etc/passwd"
165,2024-01-07 04:34:47,user_6,Router,192.168.1.225,user_7,HTTP,"scp file.txt user@192.168.1.100:/home/, ls -la"
166,2024-07-19 10:08:34,user_2,Router,192.168.4.218,user_6,SSH,"ls -la, exit, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, rm -rf /tmp/*"
167,2024-08-19 00:34:04,user_8,Database,192.168.1.89,user_6,HTTP,"cat /etc/passwd, rm -rf /tmp/*"
168,2024-01-25 08:29:53,user_10,Router,192.168.4.44,user_5,HTTP,"ls -la, sudo apt update, cat /etc/passwd, exit, rm -rf /tmp/*"
169,2024-06-27 06:55:25,user_2,Router,192.168.4.71,user_6,RDP,cat /etc/passwd
170,2024-09-28 15:54:37,user_8,Switch,192.168.1.195,user_6,RDP,"ls -la, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
171,2024-06-15 00:17:12,user_5,Switch,192.168.3.55,user_2,Telnet,"systemctl restart apache2, cat /etc/passwd, rm -rf /tmp/*, ls -la"
172,2024-01-21 22:19:14,user_8,Server,192.168.3.144,user_10,HTTP,scp file.txt user@192.168.1.100:/home/
173,2024-03-10 07:47:45,user_8,Server,192.168.2.86,user_4,RDP,rm -rf /tmp/*
174,2024-11-04 00:57:06,user_6,Switch,192.168.2.80,user_9,HTTP,"cat /etc/passwd, systemctl restart apache2, ls -la"
175,2024-06-13 06:36:16,user_10,Switch,192.168.1.208,user_8,SSH,exit
176,2024-10-11 15:08:36,user_7,Database,192.168.3.130,user_3,SSH,"ls -la, rm -rf /tmp/*, sudo apt update, exit"
177,2024-02-17 10:04:48,user_3,Database,192.168.3.79,user_5,Telnet,"systemctl restart apache2, ls -la, exit, cat /etc/passwd, sudo apt update"
178,2024-10-24 14:25:20,user_5,Switch,192.168.2.88,user_10,RDP,"exit, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
179,2024-08-26 13:55:32,user_10,Database,192.168.2.246,user_1,SSH,"rm -rf /tmp/*, ls -la, cat /etc/passwd, sudo apt update, systemctl restart apache2"
180,2024-04-27 14:48:39,user_2,Server,192.168.3.76,user_5,RDP,"rm -rf /tmp/*, sudo apt update, exit"
181,2024-01-14 01:45:05,user_9,Database,192.168.1.51,user_2,HTTP,cat /etc/passwd
182,2024-11-18 07:07:53,user_9,Database,192.168.4.52,user_2,RDP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, ls -la"
183,2024-02-02 17:31:02,user_8,Server,192.168.2.150,user_10,Telnet,"cat /etc/passwd, systemctl restart apache2, sudo apt update, exit"
184,2024-05-24 01:56:26,user_3,Server,192.168.4.110,user_6,RDP,exit
185,2024-01-20 06:39:12,user_4,Server,192.168.2.136,user_6,RDP,"sudo apt update, rm -rf /tmp/*, systemctl restart apache2, ls -la"
186,2024-04-28 21:32:35,user_10,Database,192.168.2.217,user_9,HTTP,ls -la
187,2024-07-12 11:00:51,user_2,Switch,192.168.1.162,user_5,HTTP,"ls -la, rm -rf /tmp/*"
188,2024-05-26 06:39:43,user_8,Router,192.168.2.169,user_8,HTTP,"ls -la, systemctl restart apache2, exit, scp file.txt user@192.168.1.100:/home/"
189,2024-05-05 04:57:01,user_5,Router,192.168.3.192,user_1,Telnet,systemctl restart apache2
190,2024-05-31 12:04:08,user_5,Router,192.168.1.199,user_4,HTTP,"ls -la, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update"
191,2024-04-09 11:02:54,user_7,Server,192.168.3.36,user_8,RDP,"scp file.txt user@192.168.1.100:/home/, exit, cat /etc/passwd, systemctl restart apache2, ls -la"
192,2024-04-13 02:04:54,user_5,Switch,192.168.4.228,user_9,SSH,"cat /etc/passwd, systemctl restart apache2"
193,2024-02-28 20:08:44,user_8,Switch,192.168.1.111,user_10,Telnet,"cat /etc/passwd, sudo apt update"
194,2024-01-19 09:19:25,user_2,Server,192.168.3.106,user_1,RDP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, exit"
195,2024-08-04 18:21:53,user_8,Router,192.168.2.137,user_3,RDP,"exit, cat /etc/passwd, ls -la"
196,2024-06-29 09:46:55,user_6,Database,192.168.3.84,user_10,SSH,cat /etc/passwd
197,2024-03-28 02:01:37,user_4,Switch,192.168.1.136,user_2,HTTP,"exit, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, ls -la"
198,2024-09-08 02:20:14,user_8,Server,192.168.3.162,user_3,HTTP,"sudo apt update, scp file.txt user@192.168.1.100:/home/, exit"
